,,,T,V
,,,1.34,1.96
,,,1.342,1.96
,,,1.344,1.94
,,,1.346,1.96
,,,1.348,1.96
,,,1.35,1.96
,,,1.352,1.96
,,,1.354,1.96
,,,1.356,1.94
,,,1.358,1.94
,,,1.36,1.94
,,,1.362,1.94
,,,1.364,1.96
,,,1.366,1.98
,,,1.368,1.96
,,,1.37,1.96
,,,1.372,1.98
,,,1.374,1.96
,,,1.376,1.98
,,,1.378,1.96
,,,1.38,1.96
,,,1.382,1.96
,,,1.384,1.96
,,,1.386,1.96
,,,1.388,1.96
,,,1.39,1.96
,,,1.392,1.96
,,,1.394,1.98
,,,1.396,1.96
,,,1.398,1.96
,,,1.4,1.98
,,,1.402,1.96
,,,1.404,1.96
,,,1.406,1.96
,,,1.408,1.96
,,,1.41,1.96
,,,1.412,1.96
,,,1.414,1.98
,,,1.416,1.96
,,,1.418,1.96
,,,1.42,1.98
,,,1.422,1.96
,,,1.424,1.96
,,,1.426,1.96
,,,1.428,1.98
,,,1.43,1.96
,,,1.432,1.96
,,,1.434,1.96
,,,1.436,1.98
,,,1.438,1.96
,,,1.44,1.96
,,,1.442,1.98
,,,1.444,1.98
,,,1.446,1.98
,,,1.448,1.96
,,,1.45,2
,,,1.452,1.98
,,,1.454,1.98
,,,1.456,1.98
,,,1.458,1.98
,,,1.46,1.96
,,,1.462,1.98
,,,1.464,1.98
,,,1.466,1.98
,,,1.468,2
,,,1.47,1.98
,,,1.472,1.98
,,,1.474,2
,,,1.476,1.98
,,,1.478,1.98
,,,1.48,2
,,,1.482,1.98
,,,1.484,1.98
,,,1.486,1.98
,,,1.488,1.98
,,,1.49,2.02
,,,1.492,1.98
,,,1.494,1.98
,,,1.496,1.98
,,,1.498,1.98
,,,1.5,1.98
,,,1.502,1.98
,,,1.504,1.98
,,,1.506,2
,,,1.508,1.96
,,,1.51,1.98
,,,1.512,1.96
,,,1.514,1.98
,,,1.516,1.98
,,,1.518,1.96
,,,1.52,1.96
,,,1.522,1.98
,,,1.524,1.96
,,,1.526,1.96
,,,1.528,1.98
,,,1.53,1.98
,,,1.532,1.98
,,,1.534,1.98
,,,1.536,1.98
,,,1.538,1.98
,,,1.54,1.98
,,,1.542,1.96
,,,1.544,1.98
,,,1.546,1.98
,,,1.548,1.98
,,,1.55,1.98
,,,1.552,1.98
,,,1.554,1.98
,,,1.556,1.98
,,,1.558,1.96
,,,1.56,1.96
,,,1.562,2
,,,1.564,1.98
,,,1.566,1.98
