Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
,,,,,,,,,,,,,,,-0.041,0
,,,,,,,,,,,,,,,-0.04,0
,,,,,,,,,,,,,,,-0.039,-0.04
,,,,,,,,,,,,,,,-0.038,0
,,,,,,,,,,,,,,,-0.037,0
,,,,,,,,,,,,,,,-0.036,-0.04
,,,,,,,,,,,,,,,-0.035,0
,,,,,,,,,,,,,,,-0.034,-0.04
,,,,,,,,,,,,,,,-0.033,-0.04
,,,,,,,,,,,,,,,-0.032,0
,,,,,,,,,,,,,,,-0.031,-0.04
,,,,,,,,,,,,,,,-0.03,0
,,,,,,,,,,,,,,,-0.029,0
,,,,,,,,,,,,,,,-0.028,-0.04
,,,,,,,,,,,,,,,-0.027,-0.04
,,,,,,,,,,,,,,,-0.026,-0.04
,,,,,,,,,,,,,,,-0.025,0
,,,,,,,,,,,,,,,-0.024,0
,,,,,,,,,,,,,,,-0.023,-0.04
,,,,,,,,,,,,,,,-0.022,-0.04
,,,,,,,,,,,,,,,-0.021,0
,,,,,,,,,,,,,,,-0.02,0
,,,,,,,,,,,,,,,-0.019,-0.04
,,,,,,,,,,,,,,,-0.018,0
,,,,,,,,,,,,,,,-0.017,-0.04
,,,,,,,,,,,,,,,-0.016,-0.04
,,,,,,,,,,,,,,,-0.015,0
,,,,,,,,,,,,,,,-0.014,0
,,,,,,,,,,,,,,,-0.013,-0.04
,,,,,,,,,,,,,,,-0.012,-0.04
,,,,,,,,,,,,,,,-0.011,-0.04
,,,,,,,,,,,,,,,-0.01,-0.04
,,,,,,,,,,,,,,,-0.009,0
,,,,,,,,,,,,,,,-0.008,0
,,,,,,,,,,,,,,,-0.007,0
,,,,,,,,,,,,,,,-0.006,-0.04
,,,,,,,,,,,,,,,-0.005,0
,,,,,,,,,,,,,,,-0.004,0
,,,,,,,,,,,,,,,-0.003,0
,,,,,,,,,,,,,,,-0.002,0
,,,,,,,,,,,,,,,-0.001,-0.04
,,,,,,,,,,,,,,,0,-0.04
,,,,,,,,,,,,,,,0.001,0
,,,,,,,,,,,,,,,0.002,0
,,,,,,,,,,,,,,,0.003,0
,,,,,,,,,,,,,,,0.004,0
,,,,,,,,,,,,,,,0.005,-0.04
,,,,,,,,,,,,,,,0.006,-0.04
,,,,,,,,,,,,,,,0.007,-0.04
,,,,,,,,,,,,,,,0.008,0
,,,,,,,,,,,,,,,0.009,0
,,,,,,,,,,,,,,,0.01,0
,,,,,,,,,,,,,,,0.011,-0.04
,,,,,,,,,,,,,,,0.012,-0.04
,,,,,,,,,,,,,,,0.013,0
,,,,,,,,,,,,,,,0.014,0
,,,,,,,,,,,,,,,0.015,0
,,,,,,,,,,,,,,,0.016,-0.04
,,,,,,,,,,,,,,,0.017,0
,,,,,,,,,,,,,,,0.018,0
,,,,,,,,,,,,,,,0.019,0
,,,,,,,,,,,,,,,0.02,-0.04
,,,,,,,,,,,,,,,0.021,0
,,,,,,,,,,,,,,,0.022,0
,,,,,,,,,,,,,,,0.023,-0.04
,,,,,,,,,,,,,,,0.024,0
,,,,,,,,,,,,,,,0.025,-0.04
,,,,,,,,,,,,,,,0.026,0
,,,,,,,,,,,,,,,0.027,-0.04
,,,,,,,,,,,,,,,0.028,0
,,,,,,,,,,,,,,,0.029,0
,,,,,,,,,,,,,,,0.03,0
,,,,,,,,,,,,,,,0.031,0
,,,,,,,,,,,,,,,0.032,-0.04
,,,,,,,,,,,,,,,0.033,0
,,,,,,,,,,,,,,,0.034,-0.04
,,,,,,,,,,,,,,,0.035,-0.04
